,area,distance to Roads,distance to Electrical lines,distance to Water,shape_factor,grassland,dry savanna,orchard,agriculture with vegetation,arable land,inner swamp,complex culture systems,Elevation mean,Elevation std,Slope mean,Slope std,Aspect mean,Aspect std,time to resource 0,time from resource 0,fuel consumption to resource 0,fuel consumption from resource 0,time to resource 1,time from resource 1,fuel consumption to resource 1,fuel consumption from resource 1,time to resource 2,time from resource 2,fuel consumption to resource 2,fuel consumption from resource 2,time to resource 3,time from resource 3,fuel consumption to resource 3,fuel consumption from resource 3,time to resource 4,time from resource 4,fuel consumption to resource 4,fuel consumption from resource 4,time to resource 5,time from resource 5,fuel consumption to resource 5,fuel consumption from resource 5,time to resource 6,time from resource 6,fuel consumption to resource 6,fuel consumption from resource 6
1,100000.00,729.18,819.50,1968.48,0.58,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,0.71,0.26,0.08,168.75,124.77,2.96,4.21,88.72,185.68,3.21,4.55,88.59,185.45,2.25,3.09,60.61,126.56,0.61,0.84,17.29,36.68,0.51,0.69,15.19,31.61,1.22,1.61,33.03,69.37,6.22,9.46,165.15,340.09
2,99336.30,895.90,628.39,1702.83,0.65,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.71,1.28,0.91,0.47,157.05,107.37,2.95,4.18,87.95,183.81,3.20,4.52,87.82,183.58,2.24,3.05,59.84,124.69,0.60,0.81,16.52,34.81,0.51,0.69,14.79,31.08,1.23,1.60,32.63,68.84,6.22,9.45,164.76,339.56
3,100000.00,744.79,495.19,1941.63,0.51,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.30,0.78,0.84,0.28,186.26,51.28,2.95,4.18,87.95,183.81,3.20,4.52,87.82,183.58,2.24,3.05,59.84,124.69,0.60,0.81,16.52,34.81,0.51,0.69,14.79,31.08,1.23,1.60,32.63,68.84,6.22,9.45,164.76,339.56
4,98243.42,706.60,743.95,852.98,0.38,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.25,0.99,0.99,0.43,217.66,96.00,2.93,4.16,87.48,182.76,3.18,4.50,87.36,182.52,2.22,3.03,59.37,123.64,0.57,0.79,16.05,33.76,0.52,0.70,15.13,31.68,1.23,1.62,32.97,69.44,6.23,9.47,165.10,340.16
5,99427.29,475.31,214.53,1935.98,0.60,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,0.95,0.84,0.34,214.23,127.86,2.95,4.18,87.95,183.81,3.20,4.52,87.82,183.58,2.24,3.05,59.84,124.69,0.60,0.81,16.52,34.81,0.51,0.69,14.79,31.08,1.23,1.60,32.63,68.84,6.22,9.45,164.76,339.56
6,99600.74,652.57,353.15,1551.29,0.40,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,0.94,0.65,0.29,219.16,72.20,2.95,4.18,87.95,183.81,3.20,4.52,87.82,183.58,2.24,3.05,59.84,124.69,0.60,0.81,16.52,34.81,0.51,0.69,14.79,31.08,1.23,1.60,32.63,68.84,6.22,9.45,164.76,339.56
7,100000.00,536.90,1049.74,1869.62,0.51,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.12,0.78,0.64,0.31,220.75,72.07,2.96,4.21,88.71,185.67,3.21,4.55,88.59,185.43,2.25,3.08,60.60,126.55,0.60,0.84,17.28,36.67,0.51,0.69,15.19,31.63,1.22,1.61,33.03,69.39,6.22,9.46,165.16,340.11
8,102511.59,177.62,804.08,1842.64,0.73,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.89,1.10,1.40,0.57,185.56,69.98,2.95,4.21,88.60,185.44,3.21,4.55,88.47,185.21,2.25,3.08,60.48,126.32,0.60,0.84,17.16,36.44,0.51,0.70,15.31,31.86,1.22,1.61,33.15,69.62,6.22,9.46,165.28,340.34
9,100750.41,324.53,1042.12,1905.93,0.44,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.69,1.73,1.41,0.77,115.66,121.31,2.95,4.21,88.67,185.54,3.21,4.55,88.55,185.31,2.25,3.08,60.56,126.42,0.60,0.84,17.24,36.54,0.51,0.70,15.25,31.71,1.22,1.61,33.09,69.47,6.22,9.46,165.22,340.19
10,100081.07,615.94,734.35,1518.37,0.55,0.00,1.00,0.00,0.00,0.00,0.00,0.00,11.69,2.73,2.18,1.11,116.07,99.25,2.95,4.20,88.40,185.05,3.20,4.54,88.27,184.82,2.24,3.08,60.29,125.93,0.60,0.83,16.97,36.05,0.52,0.70,15.53,32.22,1.23,1.62,33.36,69.98,6.23,9.47,165.49,340.70
